
test-simple-diode - Newton Raphson
*TIME*            CLASP::V0         CLASP::V1         CLASP::IE1        CLASP::V2         CLASP::ID1        CLASP::ID2        CLASP::V4         CLASP::ID3        CLASP::ID4        
            0.0;             0.0; .000000000000001;             0.0; .000000000000001;             0.0;             0.0; .000000000000000;             0.0;             0.0; 
            4.8;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            4.9;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
test-simple-diode - Newton Raphson
*TIME*            CLASP::V0         CLASP::IE1        CLASP::V1         CLASP::V2         CLASP::ID1        CLASP::ID2        CLASP::V4         CLASP::ID3        CLASP::ID4        
            0.0;             0.0;             0.0; .000000000000000; .000000000000000;             0.0;             0.0; -.00000000000000;             0.0;             0.0; 
            0.1;             0.0; -.0000000000582;  0.049916739805; -.0499166816041;             0.0; 0.0000000000582; .00000005820088; 0.0000000000582;             0.0; 
            0.2;             0.0; -.0000000004463; .09933488779052; -.0993344414951;             0.0; 0.0000000004463; .00000044629542; 0.0000000004463;             0.0; 
            0.3;             0.0; -.0000000029284; .14776157229749; -.1477586439291;             0.0; .00000000292837; .00000292836839; .00000000292837;             0.0; 
            0.4;             0.0; -.0000000178632; 0.1947180984653; -.1947002353035;             0.0; .00000001786316; .00001786316175; .00000001786316;             0.0; 
            0.5;             0.0; -.0000001007372; .23976314335674; -.2396624061504;             0.0; .00000010073721; .00010073720634; .00000010073721;             0.0; 
            0.6;             0.0; -.0000005146171; .28257855301442; -0.282063935942;             0.0; .00000051461707; .00051461707237; .00000051461707;             0.0; 
            0.7;             0.0; -.0000022972074; .32325743867311; -.3209602312907;             0.0; .00000229720738; .00229720738238; .00000229720738;             0.0; 
            0.8;             0.0; -.0000083467193; .36285140252917; -.3545046832481;             0.0; .00000834671928; .00834671928105; .00000834671928;             0.0; 
